activity_code,met_value,description,category
12265,15.5,"Running uphill, 7.0 mph, 5% incline",running
12325,17.5,"Running uphill, 5.0 to 5.9 mph, 15% incline",running
12335,8.8,"Running uphill, 0.6 to 0.79 mph, 30% incline",running
12337,10.3,"Running uphill, 0.8 to 0.99 mph, 30% incline",running
12339,11.8,"Running uphill, 1.0 to 1.19 mph, 30% incline",running
12341,13.5,"Running uphill, 1.2 to 1.39 mph, 30-40% incline",running
12343,14.8,"Running uphill, 1.4 to 1.59 mph, 30% incline",running
12345,16.3,"Running uphill, >1.6mph, 10-30% incline",running
12350,16.0,"Running, hilly terrain, ±100m change in elevation",running
12352,5.8,"Running downhill, 5.0 to 5.9 mph, -10% to -15%",running
12353,7.5,"Running downhill, 6.0 to 6.9 mph, -10% to -15%",running
12355,9.0,"Running downhill, 7.0 to 8.9 mph, -10% to -15%",running
12358,9.3,"Running downhill, 6.0 to 7.9 mph, -3% to -9%",running
12361,13.8,"Running downhill, 8.0 to 10.5 mph, -3% to -9%",running
12405,5.3,"Running/jogging, curved treadmill, 3.0 to 3.9 mph",running
12408,6.5,"Running/jogging, curved treadmill, 4.0 to 4.9 mph",running
12410,11.0,"Running curved treadmill, 5.0 to 5.9 mph",running
12412,12.0,"Running curved treadmill, 7.0 to 7.9 mph",running
12414,14.0,"Running curved treadmill, 8.0 to 8.9 mph",running
12416,16.8,"Running curved treadmill, 9.0 to 9.9 mph",running
12508,8.5,"Running, 5.0 – 5.9 mph, 1.0 to 3.0 kg backpack",running
12510,9.5,"Running, 6.0 – 6.9 mph, 1.0 to 3.0 kg backpack",running
12512,9.8,"Running, 7.0 – 7.9 mph, 1.0 to 3.0 kg backpack",running
12514,12.0,"Running, 8.0 – 8.9 mph, 1.0 to 3.0 kg backpack",running
12555,7.8,"Running, barefoot, 3.5-5.9 mph",running
12560,12.0,"Running, barefoot, 6.0-7.9 mph",running
12565,13.5,"Running, barefoot, 8.0-8.9 mph",running
12585,8.0,"Running, jogging stroller, indoors, 5 mph",running
12588,9.0,"Running, jogging stroller, indoors, 6 mph",running
12593,10.0,"Running, jogging stroller, outdoors, 5 mph",running
12595,11.5,"Running, jogging stroller, outdoors, 6 mph",running
12600,11.5,"Skipping, 5.5-6.0 mph",running
12620,13.0,"Triathlon, Running",running
13000,2.3,"Getting ready for bed, general, standing",self-care
13009,2.3,"Sitting on toilet, eliminating while standing or  squatting",self-care
13010,1.5,"Bathing, sitting",self-care
13020,2.8,"Dressing, undressing, standing or sitting",self-care
13030,1.5,"Eating, sitting",self-care
13035,2.0,"Talking and eating or eating only, standing",self-care
13036,1.5,"Taking medication, sitting or standing",self-care
13040,2.0,"Grooming, washing hands, shaving, brushing  teeth, putting on make-up, sitting or standing",self-care
13045,2.5,"Hairstyling, standing",self-care
13046,1.3,"Having hair or nails done by someone else,  sitting",self-care
13050,2.0,"Showering, toweling off, standing",self-care
14010,5.8,"Active, vigorous effort",sexual-activity
14020,3.0,"General, moderate effort",sexual-activity
14030,1.8,"Passive, light effort, kissing, hugging",sexual-activity
15000,5.5,"Alaska Native Games, Eskimo Olympics, general",sports
15010,4.3,Archery (non-hunting),sports
15020,7.0,"Badminton, competitive (Taylor Code 450)",sports
15025,9.0,"Badminton, competitive, match play",sports
15030,5.5,"Badminton, social singles and doubles, general",sports
15040,8.0,"Basketball, game (Taylor Code 490)",sports
15050,6.0,"Basketball, non-game, general (Taylor Code 480)",sports
15055,7.5,"Basketball, general",sports
15060,7.0,"Basketball, officiating (Taylor Code 500)",sports
15062,5.8,"Basketball, officiating",sports
15070,5.0,"Basketball, shooting baskets",sports
15072,9.3,"Basketball, drills, practice",sports
15080,2.5,Billiards,sports
15090,3.0,Bowling (Taylor Code 390),sports
15092,3.8,"Bowling, indoor, bowling alley",sports
15100,12.3,"Boxing, in ring, general",sports
15110,5.8,"Boxing, punching bag",sports
15113,7.0,"Boxing, punching bag, 60 b/min",sports
15115,8.5,"Boxing, punching bag, 120 b/min",sports
15118,10.8,"Boxing, punching bag, 180 b/min",sports
15120,7.8,"Boxing, sparring",sports
15125,9.3,"Boxing, simulated boxing round, exercise",sports
15130,7.0,Broomball,sports
15135,5.8,"Children’s games, adults playing (e.g., hopscotch, 4-square, dodge ball, playground apparatus, t-ball,  tetherball, marbles, jacks, arcade games), moderate effort",sports
15138,6.0,"Cheerleading, gymnastic moves, competitive",sports
15140,4.0,"Coaching, football, soccer, basketball, baseball, swimming, etc.",sports
15142,8.0,"Coaching, actively playing sport with players",sports
15150,4.8,"Cricket, batting, bowling, fielding",sports
15160,3.3,Croquet,sports
15170,4.0,Curling,sports
15180,2.5,"Darts, wall or lawn",sports
15190,6.0,"Drag racing, pushing or driving a car",sports
15192,8.5,"Auto racing, open wheel",sports
15195,7.8,Futsal,sports
15200,6.0,"Fencing, general",sports
15203,9.8,"Fencing, epee, competitive",sports
15205,10.5,Floorball,sports
15210,8.0,"Football, competitive",sports
15230,8.0,"Football, touch, flag, general (Taylor Code 510)",sports
15232,4.0,"Football, touch, flag, light effort",sports
15235,2.5,"Football or baseball, playing catch",sports
15240,3.0,"Frisbee playing, general",sports
15250,8.0,"Frisbee, ultimate",sports
15252,3.8,Frisbee golf,sports
15255,4.5,"Golf, general",sports
15265,4.3,"Golf, walking, carrying clubs",sports
15270,3.5,"Golf, miniature, driving range",sports
15285,4.5,"Golf, walking, pulling clubs",sports
15290,3.5,"Golf, using power cart (Taylor Code 070)",sports
15300,3.8,"Gymnastics, general",sports
15310,4.0,Hacky sack,sports
15320,12.0,"Handball, general (Taylor Code 520)",sports
15330,8.0,"Handball, team",sports
15335,4.0,"High ropes course, multiple elements",sports
15340,3.5,Hang gliding,sports
15350,7.8,"Hockey, field",sports
15360,8.0,"Hockey, ice, general",sports
15362,10.0,"Hockey, ice, competitive",sports
15370,5.5,"Horseback riding, general",sports
15380,4.5,"Horse grooming, maintenance, saddling tasks",sports
15390,5.8,"Horseback riding, trotting",sports
15395,7.3,"Horseback riding, canter or gallop",sports
15400,3.8,"Horseback riding, walking",sports
15402,9.0,"Horseback riding, jumping",sports
15403,6.0,"Horseback riding, reining",sports
15406,2.1,"Horseback riding, simulator",sports
15408,1.8,"Horse cart, driving, standing or sitting",sports
15410,3.0,"Horseshoe pitching, quoits",sports
15420,12.0,Jai alai,sports
15425,5.3,"Martial Arts, different types, slower pace, novice performers, practice",sports
15430,10.3,"Martial Arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwon do, tai-bo, Muay Thai boxing)",sports
15432,14.3,"Taekwondo, combat simulation",sports
15433,11.3,Judo,sports
15440,4.0,Juggling,sports
15444,6.5,"Kendo, kihon-keiko style, moderate intensity",sports
15445,9.6,"Kendo, kirikaeshi style, high intensity",sports
15446,11.3,"Kendo, kakari keiko style, very high intensity",sports
15450,7.0,Kickball,sports
15455,5.5,Kung Fu Gymnastics,sports
15457,7.3,Kickboxing,sports
15460,8.0,Lacrosse,sports
15465,3.3,"Lawn bowling, bocce ball, outdoor",sports
15470,4.0,"Motocross, off-road motor sports, all-terrain vehicle, general",sports
15475,5.3,"Motorcycle racing, Supormoto racing",sports
15477,7.0,Netball,sports
15480,9.0,Orienteering,sports
15490,10.0,"Paddleball, competitive",sports
15500,6.0,"Paddleball, casual, general (Taylor Code 460)",sports
15503,1.8,"Paragliding, moderate altitude",sports
15506,6.5,Prusik climbing,sports
15510,8.0,"Polo, on horseback",sports
15520,10.0,"Racquetball, competitive",sports
15525,10.3,"Race Walking, 3.1 m/s (6.9 mph)",sports
15527,13.8,"Race Walking, 3.7 m/s (8.3 mph)",sports
15528,15.5,"Race Walking, racing speed, 4.0 m/s (8.95 mph)",sports
15530,7.0,"Racquetball, general (Taylor Code 470)",sports
15533,8.0,"Rock or mountain climbing (Taylor Code 060), (formerly code 17120)",sports
15534,8.8,"Rock climbing, free boulder",sports
15535,7.3,"Rock climbing, ascending rock, high difficulty",sports
15536,10.5,"Rock climbing, speed climbing, very difficult",sports
15537,5.8,"Rock climbing, ascending or traversing rock, low-to-moderate difficulty",sports
15538,10.5,"Rock climbing, treadwall, 4-6 m/min",sports
15539,10.5,"Rock climbing, treadwall, 7-10 m/min",sports
15540,5.0,"Rock climbing, rappelling,",sports
15542,4.0,"Rodeo sports, general, light effort",sports
15544,5.5,"Rodeo sports, general, moderate effort",sports
15546,7.0,"Rodeo sports, general, vigorous effort",sports
15550,12.3,"Rope jumping, fast pace, 120-160 skips/min",sports
15551,11.8,"Rope jumping, moderate pace, general, 100 to 120 skips/min, 2 foot skip, plain bounce",sports
15552,8.3,"Rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce",sports
15554,10.0,"Rope jumping, double under or more",sports
15560,8.3,"Rugby, union, team, competitive",sports
15562,6.3,"Rugby, touch, non-competitive",sports
15570,3.0,Shuffleboard,sports
15580,5.0,"Skateboarding, general, moderate effort",sports
15582,6.0,"Skateboarding, competitive, vigorous effort",sports
15590,7.0,"Skating, roller (Taylor Code 360)",sports
15591,7.5,"Roller blading, in-line skating, 14.4 km/h (9.0 mph), recreational pace",sports
15592,9.8,"Roller blading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training",sports
15593,12.3,"Roller blading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training",sports
15594,15.5,"Rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort",sports
15595,6.8,"Skateboard, longboard, 13.3 km/h, slow speed",sports
15596,8.3,"Skateboard, longboard, 16.2 km/h, typical speed",sports
15597,10.5,"Skateboard, longboard, 18.4 km/h, fast speed",sports
15600,3.5,"Skydiving, base-jumping, bungee jumping",sports
15605,9.5,"Soccer, competitive",sports
15610,7.0,"Soccer, casual, general (Taylor Code 540)",sports
15615,3.5,Walking football/soccer,sports
15620,5.0,"Softball or baseball, fast or slow pitch, general, moderate effort (Taylor Code 440)",sports
15625,4.0,"Softball, practice",sports
15630,4.0,"Softball, officiating",sports
15640,6.0,"Softball, pitching",sports
15645,3.3,"Sports spectator, very excited, emotional, physically moving",sports
15650,12.0,Squash (Taylor Code 530),sports
15652,7.3,"Squash, general",sports
15660,4.0,"Table tennis, ping pong (Taylor Code 410)",sports
15670,3.3,"Tai chi, qi gong, general",sports
15672,1.5,"Tai chi, qi gong, sitting, light effort",sports
15674,6.0,"Tai chi chuan, Yang style",sports
15675,6.8,"Tennis, general, moderate effort",sports
15676,8.0,"Tennis, general, competitive",sports
15680,6.0,"Tennis, doubles (Taylor Code 430)",sports
15685,4.5,"Tennis, doubles",sports
15690,8.0,"Tennis, singles (Taylor Code 420)",sports
15695,5.0,"Tennis, hitting balls, non-game play, moderate effort",sports
15700,6.3,"Trampoline, recreational",sports
15702,10.3,"Trampoline, competitive",sports
15710,4.0,Volleyball (Taylor Code 400),sports
15711,6.0,"Volleyball, competitive, in gymnasium",sports
15720,3.0,"Volleyball, non-competitive, 6 – 9 member team, general",sports
15725,8.0,"Volleyball, beach, in sand",sports
15730,6.0,"Wrestling, competitive (one match = 5 minutes)",sports
15731,7.0,"Wallyball, general",sports
15732,4.0,"Track and field (e.g., shot, discus, hammer throw)",sports
15733,6.0,"Track and field (e.g., high jump, long jump, triple jump, javelin, pole vault)",sports
15734,10.0,"Track and field (e.g., steeplechase, hurdles)",sports
16002,6.8,"Bicycling for transportation, moderate effort",transportation
16004,9.3,"Bicycling for transportation, high effort",transportation
16005,6.8,E-bike (electrically assisted) for transportation,transportation
16010,2.0,Automobile or light truck (not a semi) driving,transportation
16015,1.3,Riding in a car or truck,transportation
16016,1.3,Riding in a bus or train,transportation
16020,1.8,Flying airplane or helicoptor,transportation
16030,2.8,"Motor scooter, motorcycle",transportation
16035,6.3,Pulling rickshaw,transportation
16040,6.0,Pushing plane in and out of hangar,transportation
16050,2.5,"Truck, semi, tractor, ≥1 ton, or bus, driving",transportation
16060,3.5,"Walking for transportation, 2.8-3.2 mph, level, moderate pace, firm surface",transportation
17010,7.0,Backpacking (Taylor Code 050),walking
17011,3.5,"Walking with a day pack, level ground, assumed in the city",walking
17012,7.8,"Backpacking,  hiking with a daypack, organized walking with daypack",walking
17016,4.0,"Carrying 5 to 14 lb (2.3 to 6.4 kg) load (e.g. suitcase, boxes, groceries), level ground, moderate pace",walking
17018,4.5,"Carrying 15 – 155 lb (6.8 – 70.4 kg) load (e.g. suitcase, boxes, furniture), level ground or downstairs, slow pace",walking
17019,6.5,"Carrying 50 to 150 pound load (e.g., equine or bovine feed, fence pipes, furniture), level ground, moderate pace",walking
17021,2.3,"Carrying ~10 lb child, slow walking",walking
17025,8.3,"Carrying load upstairs, general",walking
17026,5.5,"Carrying load, 1 to 15 lb load, upstairs",walking
17027,6.0,"Carrying load, 16 to 24 lb load, upstairs",walking
17028,8.0,"Carrying load, 25 to 49 lb load, upstairs",walking
17029,10.0,"Carrying load, 50 to 74 lb load, upstairs",walking
17030,12.0,"Carrying load, >74 lb load, upstairs",walking
17031,3.8,"Loading  and/or unloading a car, implied walking",walking
17032,5.0,"Climbing hills, no load, 5 to 20% grade, very slow pace",walking
17033,3.8,"Climbing hills, 15-50 lb load, 1 to 2% grade, slow pace",walking
17034,5.3,"Climbing hills, no load, 1 to 5% grade, moderate-to-brisk pace",walking
17035,7.0,"Climbing hills, no load, 6 to 10% grade, moderate-to-brisk pace",walking
17036,8.8,"Climbing hills, no load, 11 to 20% grade, slow-to-moderate pace",walking
17037,10.0,"Climbing hills, no load, 4.0 to 5.0 mph, 3 to 5% grade, very fast pace",walking
17038,8.5,"Climbing hills, no load, steep grade (30%), slow pace (less than 1.2 mph)",walking
17039,15.5,"Climbing hills, no load, very steep grade (30-40%), 1.2 to 1.8 mph",walking
17040,16.3,"Climbing hills, no load, steep grade (10-40%), 1.8 to 5.0 mph",walking
17045,6.5,"Climbing hills, 10 to 20 lb load, 5 to 10% grade, moderate",walking
17050,7.5,"Climbing hills, 21 to 40 lb load, 3 to 10% grade, moderate-to-brisk pace",walking
17060,10.0,"Climbing hills, 20+ pound load, 5 to 20% grade, moderate to brisk pace",walking
17070,3.5,Descending stairs,walking
17076,4.5,"Hauling water, head hauling, walking on flat surface",walking
17080,6.0,"Hiking, cross country (Taylor Code 040)",walking
17081,3.8,"Hiking slowly or ambling through fields and hillsides, no load",walking
17082,5.3,"Hiking or walking at a normal pace through fields and hillsides, no load",walking
17085,2.5,"Bird watching, walking and stopping",walking
17088,4.5,"Marching, moderate speed, military, no pack",walking
17090,8.0,"Marching rapidly, military, no pack",walking
17100,3.8,"Pushing or pulling stroller with child or walking with children, 2.5 to 3.1 mph",walking
17105,3.8,"Pushing a wheelchair, non-occupational",walking
17110,6.5,Race walking,walking
17130,8.0,"Stair climbing, using or climbing up ladder (Taylor Code 030)",walking
17131,6.8,"Stair climbing, general",walking
17133,4.5,"Stair climbing, slow pace",walking
17134,9.3,"Stair climbing, fast pace, one step at a time",walking
17136,7.5,"Stair climbing, two steps at a time",walking
17138,7.5,"Stair climbing, ascending and descending stairs",walking
17140,4.5,"Using crutches, level ground, general",walking
17142,7.0,"Using crutches, fast pace",walking
17145,4.3,Using medical knee scooter,walking
17150,2.3,"Walking, household",walking
17151,2.3,"Walking, less than 2.0 mph, level, strolling, very slow",walking
17152,2.8,"Walking, 2.0 to 2.4 mph, level, slow pace, firm surface",walking
17160,3.5,Walking for pleasure (Taylor Code 010),walking
17161,2.5,"Walking from house to car or bus, from car or bus to go places, from car or bus to and from the worksite",walking
17162,2.5,Walking to neighbor’s house or family’s house for social reasons,walking
17165,3.0,Walking the dog,walking
17170,3.0,"Walking, 2.5 mph, firm, level surface",walking
17180,3.3,"Walking, 2.5 mph, downhill",walking
17190,3.8,"Walking, 2.8 to 3.4 mph, level, moderate pace, firm surface",walking
17200,4.8,"Walking, 3.5 to 3.9 mph, level, brisk, firm surface, walking for exercise",walking
17220,5.5,"Walking, 4.0 to 4.4 mph (6.4 to 7.1 km/h), level, firm surface, very brisk pace",walking
17230,7.0,"Walking, 4.5 to 4.9 mph, level, firm surface, very, very brisk",walking
17231,8.5,"Walking, 5.0 to 5.5 mph (8.8 to 8.9 km/h), level, firm surface",walking
17250,3.5,"Walking, for pleasure, work break",walking
17255,4.0,"Walking, self-selected speed, indoor track or outdoors, firm surface",walking
17260,4.8,"Walking, grass track",walking
17262,4.5,"Walking, normal pace, plowed field or sand",walking
17270,4.0,"Walking, to work or class (Taylor Code 015)",walking
17280,2.5,"Walking, to and from an outhouse",walking
17302,4.3,"Walking, for exercise, 2.5 to 3.5 mph (4.0 to 5.6 km/h), with ski poles, Nordic walking, level, moderate pace",walking
17304,5.3,"Walking, for exercise, 3.6 to 4.4 mph (5.8 to 7.1 km/h), with ski poles, Nordic walking, level, moderate pace",walking
17305,8.5,"Walking, for exercise, 4.5 to 5.0 mph, with ski poles, Nordic walking, level, fast pace",walking
17310,8.8,"Walking, for exercise, with ski poles, Nordic walking, uphill, moderate pace",walking
17313,10.8,"Walking, for exercise, with ski poles, Nordic walking, level ground, carrying 20 to 30 lb load (9.0 to 15.0 kg)",walking
17315,12.3,"Walking, for exercise, with ski poles, Nordic walking, uphill, carrying 20 to 30 lb load (9.0 to 15.0 kg)",walking
17320,6.0,"Walking, backward, 3.5 mph, level",walking
17325,7.8,"Walking, backward, 3.5 mph, uphill, 5% grade",walking
17330,8.0,"Walking, Teabag walk, Monty Python Ministry of Silly Walks",walking
17332,3.5,"Walking, Putey walk, Monty Python Ministry of Silly Walks",walking
17340,2.1,"Walking, treadmill, less than 1.0 mph, 0% grade",walking
17343,2.3,"Walking, treadmill, 1.0 mph, 0% grade",walking
17346,2.8,"Walking, treadmill, 1.2 to 1.9 mph, 0% grade (1.9 to 3.1 km/h)",walking
17349,3.0,"Walking, treadmill, 2.0 to 2.4 mph (3.2 to 3.9 km/h), 0% grade",walking
17352,3.5,"Walking, treadmill, 2.5 to 2.9 mph (4.0 to 4.7 km/h), 0% grade",walking
17355,3.8,"Walking, treadmill, 3.0 to 3.4 mph (4.8 to 5.5 km/h), 0% grade",walking
17358,4.8,"Walking, treadmill, 3.5 to 3.9 mph (5.6 to 6.3 km/h), 0% grade",walking
17361,5.8,"Walking, treadmill, 4.0 to 4.4 mph (6.4 to 7.1 km/h), 0% grade",walking
17364,6.8,"Walking, treadmill, 4.5 to 4.9 mph (7.2 to 7.9 km/h), 0% grade",walking
17367,8.3,"Walking, treadmill, 5.0 to 5.5 mph (8.0 to 8.9 km/h), 0% grade",walking
17382,3.3,"Walking, treadmill, downhill (-3% to -12% grade), 2.8 to 3.1 mph",walking
17412,3.3,"Walking, treadmill, downhill (-5% to -25% grade), 2.8 mph, with Nordic Poles",walking
17434,4.8,"Walking, treadmill, 2.5 mph, 0% grade, 5 to 20 degrees C, 40 lb (18.2 kg) load",walking
17438,5.8,"Walking, treadmill, 2.5 mph, 0% grade, -10 to 0 degrees C, 40 lb (18.2 kg) load",walking
17455,8.3,"Walking, Curved treadmill, 3.0 to 5.0 mph, brisk pace",walking
17475,7.8,"Walking treadmill, backwards, 2.5 mph, +10% grade",walking
17492,1.5,"Walking, with a walker or step-to gait on treadmill, 0.7 mph (1.1 km/h), 0% grade",walking
18010,2.5,"Boating, power, driving",water-activities
18012,1.3,"Boating, power, passenger, light",water-activities
18020,4.0,"Canoeing, on camping trip (Taylor Code 270)",water-activities
18025,3.3,"Canoeing, harvesting wild rice, knocking rice off the stalks",water-activities
18030,7.0,"Canoeing, portaging",water-activities
18040,2.8,"Canoeing, rowing, 2.0-3.9 mph, light effort",water-activities
18050,5.8,"Canoeing, rowing, 4.0-5.9 mph, moderate effort",water-activities
18060,12.5,"Canoeing, rowing, kayaking, competition, > 6 mph, vigorous effort",water-activities
18070,3.5,"Canoeing, rowing, for pleasure, general (Taylor Code 250)",water-activities
18080,12.0,"Canoeing or rowing, in competition, crew or sculling (Taylor Code 260)",water-activities
18090,3.0,"Diving, springboard or platform",water-activities
18100,5.0,"Kayaking, moderate effort",water-activities
18104,13.5,"kayaking, competition",water-activities
18106,9.0,"kayaking, slalom, flat water",water-activities
18110,4.0,Paddle boat,water-activities
18112,15.5,"Rowing, simulated crew in a water tank, single oar, 33 strokes/min,",water-activities
18114,15.5,"Rowing, single scull, ergometer, ergometer on slides, racing speed (32+ strokes/min, >10 mph)",water-activities
18120,3.0,"Sailing, boat and board sailing, windsurfing, ice sailing, general (Taylor Code 235)",water-activities
18130,4.5,"Sailing, in competition, general",water-activities
18132,9.3,"Sailing, in competition, high effort",water-activities
18140,3.3,"Sailing, Sunfish/Laser/Hobby Cat, Keel boats, ocean sailing, yachting, leisure",water-activities
18142,2.0,"Sailing, dingy",water-activities
18150,6.0,"Skiing, water or wake boarding (Taylor Code 220)",water-activities
18160,7.0,"Jet skiing, driving, in water",water-activities
18180,15.8,"Skindiving, fast",water-activities
18190,11.8,"Skindiving, moderate",water-activities
18200,7.0,"Skindiving, scuba diving, general (Taylor Code 310)",water-activities
18202,5.3,"Scuba diving, general, light effort",water-activities
18204,5.8,"Scuba diving, general, moderate effort",water-activities
18206,5.5,"Scuba diving, professional diver",water-activities
18208,6.8,"Scuba diving, recreational diver",water-activities
18210,5.0,Snorkeling (Taylor Code 320),water-activities
18220,3.0,"Surfing, body or board, general",water-activities
18221,6.8,"Surfboard, paddling",water-activities
18222,5.0,"Surfing, body or board, competitive",water-activities
18224,6.5,"Stand up paddle boarding, general",water-activities
18225,2.8,"Stand up Paddleboard, standing, 10-19 strokes/min",water-activities
18226,3.8,"Stand up Paddleboard, standing, 20-29 strokes/min",water-activities
18227,5.0,"Stand up Paddleboard, standing, 30-39 strokes/min",water-activities
18228,9.8,"Stand up Paddleboard, standing, 40-49 strokes/min",water-activities
18229,11.0,"Stand up Paddleboard, standing, 50-69 strokes/min",water-activities
18230,9.8,"Swimming laps, freestyle, fast, vigorous effort",water-activities
18240,5.8,"Swimming laps, freestyle, slow, recreational",water-activities
18250,9.5,"Swimming, backstroke, training or competition",water-activities
18255,4.8,"Swimming, backstroke, recreational",water-activities
18260,10.3,"Swimming, breaststroke, general, training or  competition",water-activities
18265,5.3,"Swimming breaststroke, recreational",water-activities
18270,13.8,"Swimming, butterfly, general",water-activities
18280,10.5,"Swimming, crawl, fast speed, ~75 yards/minute,  vigorous effort",water-activities
18285,10.5,"Swimming, open water, 5k",water-activities
18290,8.00,"Swimming, crawl, medium speed, ~50 yards/minute, vigorous effort",water-activities
18292,5.8,"Swimming, crawl, slow speed, 30-45 yards/minute, moderate effort",water-activities
18294,14.5,"Swimming, crawl, elite swimmers, competition, >90 yards/minute",water-activities
18300,6.0,"Swimming, lake, ocean, river (Taylor Codes 280,  295)",water-activities
18310,6.0,"Swimming, leisurely, not lap swimming, general",water-activities
18320,7.0,"Swimming, sidestroke, general",water-activities
18330,8.0,"Swimming, synchronized",water-activities
18340,9.8,"Swimming, treading water, fast, vigorous effort",water-activities
18350,3.5,"Swimming, treading water, moderate effort,  general",water-activities
18352,2.3,"Tubing, floating on a river, general",water-activities
18355,5.5,"Water aerobics, water calisthenics, general",water-activities
18356,3.8,"Water aerobics, resistance exercises",water-activities
18358,7.5,"Water aerobics, high intensity",water-activities
18360,10.0,Water polo,water-activities
18365,3.0,Water volleyball,water-activities
18366,9.8,"Water jogging, vigorous effort",water-activities
18367,2.5,"Water walking, light effort, slow pace",water-activities
18368,4.8,"Water walking, moderate effort, moderate pace",water-activities
18369,6.8,"Water walking, vigorous effort, brisk pace",water-activities
18370,5.0,"Whitewater rafting, kayaking, or canoeing",water-activities
18374,6.5,"Water running, 30 steps/min, slow",water-activities
18375,7.5,"Water running, 40 steps/min, moderate",water-activities
18376,8.5,"Water running, 50 steps/min, fast",water-activities
18377,9.8,"Water running, 60 steps/min, very fast",water-activities
18380,5.0,"Windsurfing, not pumping for speed",water-activities
18385,11.0,"Windsurfing or kitesurfing, crossing trial",water-activities
18390,14.0,"Windsurfing, competition, pumping for speed",water-activities
18404,2.8,"Aquatic cycling, 25 W, 40-50 RPM",water-activities
18408,4.8,"Aquatic cycling, 25 W, 60-70 RPM",water-activities
18412,3.8,"Aquatic cycling, 50 W, 40-50 RPM",water-activities
18416,6.0,"Aquatic cycling,  50 W, 60-70 RPM",water-activities
18420,5.0,"Aquatic cycling, 75 W, 40-50 RPM",water-activities
18424,6.3,"Aquatic cycling, 75 W, 60-70 RPM",water-activities
18428,6.3,"Aquatic cycling, 100 W, 40-50 RPM",water-activities
18432,7.5,"Aquatic cycling, 100 W, 60-70 RPM",water-activities
18436,8.5,"Aquatic cycling, 80-89 RPM",water-activities
18440,10.3,"Aquatic cycling, 90+ RPM",water-activities
19005,7.5,"Dog sledding, mushing",winter-activities
19006,2.5,"Dog sledding, passenger",winter-activities
19010,6.0,"Moving icehouse, set up/drill holes",winter-activities
19011,2.0,Ice fishing,winter-activities
19018,14.0,"Skating, ice dancing",winter-activities
19020,5.5,"Skating, ice, 9 mph or less",winter-activities
19030,7.0,"Skating, ice, general (Taylor Code 360)",winter-activities
19040,9.0,"Skating, ice, rapidly, more than 9 mph but not competitive",winter-activities
19045,9.0,"Skating Treadmill, 6 – 6.9 mph, 2% grade",winter-activities
19046,10.0,"Skating Treadmill, 7 – 7.9 mph, 2% grade",winter-activities
19047,10.5,"Skating Treadmill, 8 – 8.9 mph, 2% grade",winter-activities
19048,11.0,"Skating Treadmill, 9 – 9.9 mph, 2% grade",winter-activities
19050,13.8,"Skating, speed, competitive",winter-activities
19060,7.0,"Ski jumping, climb up carrying skis",winter-activities
19075,7.0,"Skiing, general",winter-activities
19080,6.8,"Skiing, cross country, 2.5 mph, slow or light effort, ski walking",winter-activities
19090,8.5,"Skiing, cross country, 4.0-4.9 mph, moderate speed and effort, general",winter-activities
19100,11.3,"Skiing, cross country, 5.0-7.9 mph, brisk speed, vigorous effort",winter-activities
19110,14.0,"Skiing, cross country, elite skier, >8.0-11.9 mph, racing",winter-activities
19112,16.0,"Skiing, cross country, 12-16 mph, elite skier, racing",winter-activities
19115,9.5,"Skiing, cross-country skiing high-intensity training",winter-activities
19130,15.5,"Skiing, cross country, hard snow, uphill, maximum, snow mountaineering",winter-activities
19135,13.3,"Skiing, cross-country, skating",winter-activities
19140,13.5,"Skiing, cross-country, biathlon, skating technique",winter-activities
19142,12.8,"Biathlon training, 5 degree incline, 8 km/h (5 mph), with/without rifle",winter-activities
19144,15.8,"Biathlon training, 5 degree incline, 10.7 km/h (6.6 mph), with/without rifle",winter-activities
19146,9.3,"Skiing, slalom",winter-activities
19150,4.3,"Skiing, downhill, alpine or snowboarding, light effort, active time only",winter-activities
19160,6.3,"Skiing, downhill, alpine or snowboarding, moderate effort, general, active time only",winter-activities
19170,8.0,"Skiing, downhill, alpine or snowboarding, vigorous effort, active time only",winter-activities
19174,7.3,"Skiing, Alpine skiing high-intensity training",winter-activities
19180,7.0,"Sledding, tobogganing, bobsledding, luge (Taylor Code 370)",winter-activities
19190,5.3,"Snow shoeing, moderate effort",winter-activities
19192,10.0,"Snow shoeing, vigorous effort",winter-activities
19200,3.8,"Snowmobiling, driving, moderate pace, flat land",winter-activities
19201,7.5,"snowboarding, recreational, moderate pace, mountain",winter-activities
19202,2.0,"Snowmobiling, passenger, light",winter-activities
19252,5.3,"Snow shoveling, by hand, moderate effort",winter-activities
19254,7.5,"Snow shoveling, by hand, vigorous effort",winter-activities
19260,2.5,"Snow blower, walking and pushing",winter-activities
19300,12.5,"Skiing, roller, elite racers",winter-activities
19305,5.5,"Rollerskiing, 10 – 12.9 km/h, no incline",winter-activities
19310,6.8,"Rollerskiing, 13 – 16.9 km/h, no incline",winter-activities
19315,8.3,"Rollerskiing, 17 – 19.9 km/h, no incline",winter-activities
19320,10.5,"Rollerskiing, 20 – 23.9 km/h, no incline",winter-activities
